file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,5741d22f,Shaanb2000,2025-10-18,22:15:35,-07:00,2025-10-18T22:15:35-07:00,0,58
style.css,2,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,5
style.css,3,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,31
style.css,4,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,32
style.css,5,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,6,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,7,css,511c90ba,Shaanb2000,2025-10-24,16:10:17,-07:00,2025-10-24T16:10:17-07:00,0,4
style.css,8,css,511c90ba,Shaanb2000,2025-10-24,16:10:17,-07:00,2025-10-24T16:10:17-07:00,1,88
style.css,9,css,511c90ba,Shaanb2000,2025-10-24,16:10:17,-07:00,2025-10-24T16:10:17-07:00,1,23
style.css,10,css,511c90ba,Shaanb2000,2025-10-24,16:10:17,-07:00,2025-10-24T16:10:17-07:00,0,0
style.css,11,css,5741d22f,Shaanb2000,2025-10-18,22:15:35,-07:00,2025-10-18T22:15:35-07:00,0,27
style.css,12,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,13,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,54
style.css,14,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,4
style.css,15,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,8
style.css,16,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,52
style.css,17,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,18
style.css,18,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,70
style.css,19,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,18
style.css,20,css,17d88cf4,Shaanb2000,2025-10-24,23:08:02,-07:00,2025-10-24T23:08:02-07:00,1,17
style.css,21,css,17d88cf4,Shaanb2000,2025-10-24,23:08:02,-07:00,2025-10-24T23:08:02-07:00,1,16
style.css,22,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,23,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,24,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,22
style.css,25,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,3
style.css,26,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,1,39
style.css,27,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,12
style.css,28,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,1,43
style.css,29,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,18
style.css,30,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,31,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,5
style.css,32,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,62
style.css,33,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,17
style.css,34,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,45
style.css,35,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,51
style.css,36,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,13
style.css,37,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,38,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,65
style.css,39,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,0,13
style.css,40,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,45
style.css,41,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,1,60
style.css,42,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,43,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,44,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,0,11
style.css,45,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,1,69
style.css,46,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,0,0
style.css,47,css,9b5d6f4c,Shaanb2000,2025-10-24,16:33:41,-07:00,2025-10-24T16:33:41-07:00,0,0
style.css,48,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,26
style.css,49,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,63
style.css,50,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,38
style.css,51,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,52
style.css,52,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,31
style.css,53,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,24
style.css,54,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,0
style.css,55,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,10
style.css,56,css,613626a9,Shaanb2000,2025-10-21,20:59:40,-07:00,2025-10-21T20:59:40-07:00,0,73
